,job_name,norm_job_submit_time,ddl,A100,GTX_2080Ti,V100
0,99295a626a36dc3a91758d47,0,inf,1020.0,1540.0,2595.0
1,4bb1767ba629f8c0de3acbfb,0,inf,5384.0,8235.0,10278.0
2,c6397b01fd4a35bb721fa399,0,inf,1796.0,2529.0,4517.0
3,75c6088e11c15778fda09219,0,32383.0,6609.0,10856.0,14600.0
4,2d2e0acbce2301babd857c1c,0,5921.0,2599.0,4665.0,6837.0
5,0da07533aedd079d9143ec62,0,inf,1238.0,1898.0,2976.0
6,d8d64940d9fb00514d784cf1,0,inf,1561.0,2775.0,4835.0
7,4229c8c7716a984b3679a24f,0,inf,4249.0,6418.0,9450.0
8,339029abef54573718488ab4,0,inf,864.0,1621.0,2655.0
9,88142f969ec886c92ee3a774,0,inf,3751.0,6657.0,9623.0
10,7e683ecf4f18cf6d73da1020,0,inf,2050.0,3112.0,4560.0
11,ed0688524ba010cc8b32c881,0,inf,1366.0,2645.0,3632.0
12,2d2cbb9d5a0381474ac7834c,0,inf,10647.0,18238.0,29732.0
13,259cf1eca06ae1c933f19563,0,inf,1335.0,2075.0,3489.0
14,aa47724fc964d3ea485bd261,0,55793.0,8995.0,14345.0,22180.0
15,1291a32086114423c70d38f0,0,inf,22914.0,38131.0,59682.0
16,c8904c79e298b0337d7d804e,0,inf,5194.0,8193.0,11620.0
17,6da8f82ff5c2073e6e0acd9d,0,inf,1106.0,1835.0,2878.0
18,fae384c0b59ecce95ea2a9f7,0,inf,17000.0,29530.0,42060.0
19,884d09a474d0706d5552f3d7,0,inf,2827.0,5628.0,8268.0
20,2a90b41d23ee3bfc570ef620,0,inf,4912.0,9708.0,12747.0
21,e3789c5e546bbbe82007127f,0,inf,125004.0,232288.0,417165.0
22,76c6fca2e2b4a629e085ad8b,0,22458.0,10552.0,18201.0,27796.0
23,9108fac46ab886db23ae60c7,0,inf,408.0,683.0,1032.0
24,48141ebe314c01688ab5d5de,0,345262.0,47043.0,87557.0,122371.0
25,fcd92b2d6f5c7870bc2969bb,0,inf,83199.0,134950.0,208194.0
26,03c9f2a11e3c65286c8ac841,0,3526.0,2307.0,3329.0,5978.0
27,2e905adfb7465df79c364e97,0,10530.0,2914.0,4344.0,5731.0
28,6d6cd85fbaef57811aca1ed9,0,inf,8671.0,14926.0,21182.0
29,a9ebd8b4377894dd928d10e8,0,8946.0,3296.0,5516.0,8326.0
30,0c9a885e740bcfd2ef252d0c,0,inf,18327.0,36617.0,55813.0
31,ffefc5d1da83bc174fe5050d,0,inf,1886.0,3742.0,5098.0
32,7b0abc39d9a4319430e2f3a4,0,inf,3110.0,6004.0,7607.0
33,7af2ad74ada623172721f495,0,inf,9381.0,18486.0,23855.0
34,a221bdffb6c4991fc1f8213a,0,inf,31318.0,60387.0,96471.0
35,5aa92730e490239f6e0573a3,0,17963.0,6052.0,9199.0,14752.0
36,48a46accabbad93e94de8581,0,inf,5011.0,8672.0,11652.0
37,83a93e8c510244cf492ac9ca,0,35473.0,4741.0,9151.0,11871.0
38,9ffc6181c3a42b7738c1422c,0,inf,2012.0,3785.0,6586.0
39,ffead55f3560d8bd0150c4d3,0,inf,5482.0,9231.0,13984.0
40,2f5502d0304d066c091cae47,0,inf,1971.0,2948.0,4191.0
41,389daf24b343ba5936b7e57c,0,inf,45689.0,71679.0,118115.0
42,2dd2df0e59569ca9f89358a9,0,inf,666.0,1227.0,1676.0
43,a08fd0d9aca2571dfbb2ffdc,0,25403.0,16047.0,27998.0,41569.0
44,610ad03c5967514a92940b1c,0,2505.0,1312.0,2090.0,3358.0
