,job_name,norm_job_submit_time,ddl,A100,GTX2080Ti,V100
0,fab657eb909716a8f8db37f5,0,7767.0,2141.0,3621.0,5452.0
1,8699d886a13b540d26a22bd4,0,inf,434.0,706.0,1078.0
2,fd0cbfcfd81596270f3856d5,0,inf,5625.0,9990.0,14407.0
3,d672d09a7771cbf66a587a4d,0,4264.0,1733.0,2696.0,4455.0
4,1a81138c71e897a69a407105,0,inf,5402.0,7657.0,13163.0
5,243fac4cb6cd257507e8486c,0,2593.0,1208.0,2009.0,3267.0
6,cae484a75753d3fb5a9869f1,0,inf,1084.0,1896.0,2810.0
7,578e8fb2cd89e38a5556a615,0,inf,41140.0,70053.0,102303.0
8,04521b78907d43ca09c0539f,0,37468.0,10322.0,14754.0,20638.0
9,a658e4ab9e1bebea636479f7,0,inf,2607.0,3668.0,6302.0
10,0e3a6aa8da14baf7d88a2469,0,inf,1500.0,2244.0,3109.0
11,6c866df1381f72579b2ba97b,0,inf,3294.0,6574.0,8224.0
12,41ada3836c4d6da5d9fd22d3,0,inf,2138.0,3280.0,4935.0
13,f230971c4e3b2ff1fe09197d,0,inf,1762.0,3193.0,5243.0
14,2b25fcbcdcf029a2bda31e37,0,inf,3924.0,6981.0,10575.0
15,adf601f0963204a914d1635d,0,18802.0,5163.0,7778.0,10094.0
16,0ae5221f5855b37654029d0b,0,9119.0,4372.0,7488.0,13531.0
17,29c8db9a3d31795fd4bd1fb6,0,inf,2028.0,3099.0,5014.0
18,4b512ec385f3fea89e42f39b,0,inf,3460.0,5042.0,7099.0
19,067378d818909f20ac1ce743,0,inf,2737.0,4035.0,5624.0
20,799db5c92530b35a94f70367,0,inf,4125.0,6779.0,9382.0
21,0faf8a1157f6d06de5ad4cf3,0,2850.0,2155.0,3103.0,5452.0
22,23367c2d210bd06ebd7d644e,0,5237.0,1353.0,2643.0,4324.0
23,906c1dd91592968a13fcc5df,0,51685.0,7418.0,14697.0,19277.0
24,4ccd24208ebd02405fb15402,0,inf,1833.0,3464.0,5576.0
