,Unnamed: 0,job_name,norm_job_submit_time,ddl,T4,P100,V100
0,0,34b3d819023ea21e28afd50f,1.0,inf,176371.0,122197.0,82676.0
1,1,af3b0f5e810838d6c33840e1,1.0,inf,109920.0,94696.0,51460.0
2,2,8b3581e39780f46e28e48c4a,1.0,inf,325332.0,240371.0,121898.0
3,3,e3789c5e546bbbe82007127f,1.0,inf,412677.0,232288.0,154902.0
4,4,8dc5b00629f823cf8d30cade,1.0,inf,184170.0,157663.0,115030.0
5,5,a5fca6521f8613a8d5a7e54b,1.0,inf,208486.0,154630.0,92712.0
6,6,6661e092f01b74b115fd4212,1.0,219069.0,175809.0,166566.0,51499.0
7,7,9f0d56b7e61c0233f8eac927,1.0,inf,52938.0,40390.0,22461.0
8,8,4a90ccfb89c54e38dd6223de,1.0,inf,63230.0,44091.0,18946.0
9,9,be6307cdb221d1708e7b9314,1.0,inf,306245.0,211983.0,111234.0
10,10,3e8f649722e82dcde5d8a1f1,1.0,162397.0,136179.0,97203.0,75544.0
11,11,070d1ef25c84f9e7899a7a73,1.0,inf,344628.0,185386.0,91444.0
12,12,39b44fde874a6225e935a790,1.0,inf,124997.0,80313.0,48069.0
13,13,b643578285eac064d1a906cb,1.0,inf,195049.0,88708.0,56498.0
14,14,3c259019a86bdf12797826db,1.0,inf,65431.0,34826.0,25115.0
15,15,5277c5dc618b01973aae1376,1.0,inf,72199.0,54762.0,32565.0
16,16,46698b87248217a14b68dcec,1.0,inf,23559.0,18955.0,13428.0
17,17,801d01d97d3b500d3d85931d,1.0,inf,32978.0,22785.0,18058.0
18,18,c732eebb1b3b0dad7f65fbde,1.0,inf,50813.0,39819.0,30902.0
19,19,a3f0b61189409a87bae76d27,1.0,inf,135721.0,58215.0,40965.0
20,20,504e42bbb0e7b4aaffa736be,1.0,inf,66064.0,45714.0,27752.0
21,21,e6c75130934453752980d2b5,1.0,inf,130552.0,94727.0,43726.0
22,22,f2b1e54d0e7c3a14bb00e352,1.0,inf,37223.0,27691.0,14988.0
23,23,4036dc4b04d02fc50362ac61,1.0,inf,22358.0,13549.0,8846.0
24,24,9996b43474c2a67297ca4541,1.0,13916.0,9254.0,8251.0,3715.0
25,25,dbf19d21115c334deb03a612,1.0,inf,6647.0,4446.0,2231.0
26,26,cf9e392ce766c6f1f08b3cd3,1.0,inf,2343.0,1444.0,870.0
27,27,2b6f206c7f3b1a7e9b245377,1.0,56.0,46.0,34.0,20.0
28,28,5cbf0afe4c8f6b5a5ce349e2,1.0,inf,24.0,12.0,12.0
29,29,0be405b22b614ad944a2168d,1.0,68.0,54.0,42.0,20.0
30,30,5a60fd3f568385bc187e35cb,1.0,inf,16.0,13.0,6.0
31,31,cb234f1327f5068522c68396,1.0,inf,16.0,13.0,5.0
32,32,fa636e4bc68aab56f5e0aa99,1.0,152.0,114.0,75.0,40.0
33,33,ab1ac4349833fa90a46857ef,1.0,inf,649.0,456.0,374.0
34,34,148cf86f7abf000c9233e2e1,1.0,inf,266.0,244.0,88.0
35,35,c5662f6c9db0a4d5043382c8,1.0,74.0,54.0,47.0,24.0
36,36,690a83ece1d223f349dc2525,1.0,inf,15.0,10.0,4.0
37,37,0cd059623c7558f462556dc1,1.0,inf,325.0,183.0,151.0
38,38,04d44e50088d091cfb15aa70,1.0,inf,104.0,60.0,49.0
39,39,5cafd4d0526e19f3e20486b0,1.0,41.0,25.0,15.0,10.0
40,40,74146fd4419f6be43dbc0523,1.0,inf,16.0,12.0,7.0
41,41,5c5d7073a01b86674fd7e430,1.0,inf,74.0,50.0,24.0
42,42,e9df0fc80d33f85645668015,1.0,24.0,16.0,12.0,8.0
43,43,e93e3ae0a84df50b284cd038,1.0,inf,828.0,612.0,379.0
