,job_name,norm_job_submit_time,ddl,A100,GTX_2080Ti,V100
0,2ebaeee440f699e10270e169,0,inf,5966.0,9092.0,16406.0
1,860da50334c030b8f350b7cb,0,inf,1822.0,2592.0,3422.0
2,5dca7211dbc1185078afc673,0,inf,9978.0,16249.0,25268.0
3,d94aed56ce5f65c37985cec4,0,inf,1942.0,3114.0,5088.0
4,f27b6a0c680ac4f7d9e73e8c,0,inf,53946.0,102008.0,132575.0
5,f270071ba9ee960b9fab792e,0,inf,8536.0,14769.0,19290.0
6,a08fd0d9aca2571dfbb2ffdc,0,inf,16047.0,28260.0,42421.0
7,c40bd7bcbaeab81082547721,0,inf,6821.0,10916.0,18434.0
8,4a75128b338ec4e0a06924ee,0,inf,16946.0,32876.0,48752.0
9,36a311c21570be246a5e4863,0,27911.0,5671.0,9127.0,14681.0
10,02869d0bb39ab667b81f5dd3,0,inf,5703.0,9884.0,17015.0
11,d84d2bba70873cf8c8c5355b,0,inf,16408.0,24242.0,39936.0
12,509181cbb72448bcac8253b7,0,inf,1018.0,1644.0,2142.0
13,85575175503b196689b691cb,0,inf,42163.0,72240.0,106723.0
14,eead46b2b7a63b31d3d92bfe,0,inf,8817.0,16521.0,21231.0
15,d4488cb96cb8166346784ba8,0,inf,18514.0,36044.0,49231.0
16,79851c0985f28d3d21ab17c2,0,inf,4736.0,6992.0,11618.0
17,1d853c06feace1a945e24b18,0,inf,13649.0,19953.0,24425.0
18,7d559591f0435875b696c1b6,0,inf,986.0,1889.0,2865.0
19,fc7c1b88c9d78f4221d6c1e8,0,inf,10081.0,15551.0,26926.0
20,919f04f2796a7a30fcf72ac1,0,inf,1059.0,1585.0,2769.0
21,ec25845788ee0926c272dc28,0,inf,2817.0,4255.0,7250.0
22,176e77b8f210645ae3537626,0,inf,5815.0,10859.0,15248.0
23,7d782c74fc326ce608ec4a8f,0,inf,8806.0,16706.0,22634.0
24,eb5c48c96c087a580c84bd9c,0,inf,2848.0,5335.0,7567.0
25,b8533b899c83bf0f5fab5355,0,inf,4895.0,9359.0,13367.0
26,2fd78af8d42b7868c73fda2b,0,inf,4454.0,7070.0,9958.0
27,e0aaaae87de8780fd9140e78,0,inf,1939.0,3799.0,4883.0
28,8ab7cec1561ab0fbf08ec2f2,0,inf,35737.0,61651.0,86679.0
29,156ecf13da53094bfd2c7a11,0,inf,56583.0,98817.0,141230.0
30,bfcb4cf1376ed48593325f3f,0,inf,21133.0,35093.0,47025.0
31,f43effb236dfdb7f44b9fa97,0,inf,5368.0,8184.0,13082.0
32,93b22104c9b283e6d842f9e0,0,inf,9875.0,15137.0,22161.0
33,86910c7ffe6524f395c0390a,0,inf,1348.0,1963.0,3405.0
34,65cacafc661f8f613065cd75,0,inf,82575.0,152630.0,215507.0
35,05cc44e717024c32283e3810,0,inf,823.0,1583.0,2424.0
36,726765f1e30e974dbce39c3b,0,inf,2565.0,3678.0,6012.0
37,500004073cc1551755b40ae7,0,50861.0,21440.0,30653.0,52178.0
38,0747083e80cfdae8e85cabb8,0,inf,1747.0,3494.0,5461.0
39,5f04a61cc983a6cc8f6e0763,0,inf,1848.0,2776.0,4907.0
40,6a8742e5ef034ef32a628a5d,0,inf,1280.0,2249.0,3307.0
41,8cd5a3c9b11fd747edfafd7d,0,inf,19629.0,28960.0,37773.0
42,cf9e392ce766c6f1f08b3cd3,0,inf,2343.0,3562.0,6218.0
43,13202dffa951f6b210a22e86,0,inf,3776.0,6567.0,12237.0
44,e06e711cf84b5b2b0fbc4945,0,inf,1311.0,2020.0,3340.0
45,a393b59b1920ec5debfb78f8,0,inf,4112.0,6414.0,10910.0
46,4054989c10e2f284b45bd634,0,inf,5422.0,9450.0,13577.0
47,aa52bdc64fd3845ce12849b9,0,inf,2007.0,3144.0,5039.0
48,395b9debee68cd7c0b744030,0,inf,23455.0,34853.0,56566.0
49,1f0dc3beebb17a265fb9093d,0,inf,2211.0,3286.0,5254.0
50,9ea0517d0fbe03e66e678c12,0,6567.0,1608.0,3084.0,4812.0
51,5a403f2d84af26fe275ebd17,0,inf,2019.0,3355.0,5079.0
52,b1c7ea58e0e07ebd6474d833,0,inf,1925.0,3390.0,5270.0
53,9a096df049defe9abe6abe0c,0,8409.0,3855.0,5694.0,7093.0
54,3ed2d5f6503d2d0e3c447d47,0,3673.0,1733.0,2915.0,4262.0
55,d0fc458934a259b4c087d5dc,0,inf,56141.0,93590.0,126511.0
56,b0ff3a2ac6943317003c9454,0,inf,1431.0,2261.0,3932.0
57,68caf83cb6ffe280380214ba,0,inf,10109.0,14855.0,24909.0
58,54a5b07ea474245097746c8b,0,inf,1162.0,1719.0,2901.0
59,94e49c91694c7bffafb34128,0,inf,3052.0,5521.0,7775.0
60,9a2797e46cc596cf8df16b7f,0,inf,17398.0,25010.0,41882.0
61,6942f73f8d503bc71900699c,0,inf,2938.0,4817.0,7201.0
62,60a89fcbf23a9605c821f0fd,0,inf,4626.0,8082.0,12217.0
63,8fbb1d2f869621bcedc0d195,0,inf,10407.0,16466.0,27457.0
64,f177019ddf9c5fe5298ddcbb,0,inf,20061.0,29070.0,50307.0
65,85d7682897f841a0504e7754,0,inf,4826.0,9135.0,12142.0
66,61d7fa43d1c75cfc634fafff,0,inf,10309.0,17196.0,26012.0
67,455dba3f5176ead7d303f191,0,inf,1922.0,3084.0,5189.0
68,981e4db017a3d5073386d41f,0,inf,1680.0,3249.0,5610.0
69,dfced0b0097a2e48a8bfcd71,0,inf,360234.0,531953.0,919423.0
70,f4b68dcbf4ae94bb9561d5e6,0,inf,2266.0,4034.0,5637.0
71,92d803fe5104b98d4b5bce30,0,inf,388.0,787.0,1005.0
72,8179607464b851346caf4577,0,inf,4976.0,8416.0,12833.0
73,10f4fc144e52b5df0d27b48a,0,inf,5172.0,7690.0,11531.0
74,2ede8ec9aa37ce358f0c6b28,0,inf,1957.0,3347.0,4607.0
75,e647d496673d0ee7e83b401d,0,inf,7960.0,14636.0,23862.0
76,26f244b7369210d3ced74803,0,inf,4173.0,7833.0,10768.0
77,896bb76784cfe57ff6353ddc,0,inf,5710.0,10299.0,15729.0
78,7c43491ceb86acd889a06679,0,inf,1756.0,3138.0,4535.0
79,a895d86d1399a27b42c7d085,0,inf,2373.0,3623.0,5960.0
80,88c4db63c5be14de46c16fd9,0,inf,522.0,1007.0,1387.0
81,174878d67daae70639468da7,0,inf,6516.0,11531.0,15851.0
82,26f06903ff5d232f6ee4f984,0,inf,2408.0,4633.0,6373.0
83,4412cd4b2c6045f671b7f55b,0,inf,754.0,1299.0,1978.0
84,ff80b243f5e7703746fb9a90,0,inf,2174.0,3109.0,5236.0
85,e042124eed62af79dedc720e,0,inf,1582.0,2723.0,3809.0
86,28f555b3632aeba4f91c9e0f,0,6562.0,2941.0,5303.0,8828.0
87,258e0dea7a058808134696ad,0,34854.0,5907.0,12183.0,15321.0
88,6450afa55df5fc5db34927b7,0,inf,3005.0,5225.0,7796.0
89,5ce1cfbc90e444d1adfd6834,0,inf,1555.0,2848.0,3918.0
90,0ce5190b45198edc797ccaf5,0,23926.0,7705.0,11952.0,18848.0
91,70c29258893cbb3ea1cfe08d,0,inf,17533.0,25663.0,31908.0
92,0044d27715ae1e845a8ad02a,0,inf,4948.0,8927.0,13102.0
93,6741031929f6290d7978d307,0,inf,1633.0,2619.0,4186.0
94,002da66563663ef2d19b2d66,0,inf,6053.0,10825.0,15140.0
95,4f47f4b3d0223b3332e2c449,0,inf,15516.0,27619.0,41127.0
96,b18bc678773236631259c800,0,inf,869.0,1619.0,2381.0
97,9bef66fac640633ac8792fc3,0,inf,6267.0,9734.0,15386.0
98,82db8b8838839b171968d22e,0,inf,41842.0,70589.0,106903.0
99,cfa5730c8163d12735cc05ff,0,inf,1824.0,2629.0,4768.0
100,0ae5221f5855b37654029d0b,0,inf,4164.0,7488.0,13597.0
101,170c4fadcf309667cb82ad6e,0,inf,46329.0,64905.0,115250.0
102,4e5da94e54d14478a4717fdd,0,inf,5779.0,8444.0,14110.0
